grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto,composto_mais_utilizado,rainfall_ocorreu
3,-0.9159176993836726,20.6025,4,2,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
4,-1.8156166178745659,22.656,5,3,11.833333333333334,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
5,0.2366653262223961,19.176,5,2,11.666666666666666,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
6,-1.0106157112526493,20.305,4,2,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
7,-0.42086692200234976,21.239,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
8,0.01064863497810542,19.285,3,2,17.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
9,0.034850404434594306,20.5425,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
10,-2.0990686860460572,20.662,4,2,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
11,-0.25319357063766645,19.732,3,2,12.25,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
12,0.10954058940755296,17.751,3,2,17.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
13,0.543086135233628,20.3795,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
14,0.6074859469967442,17.948,3,2,11.75,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
15,0.5675636706820031,18.499,5,2,11.666666666666666,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,SOFT,HARD,0
16,0.6834210278702457,20.86,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
17,0.9761504271161292,21.911,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
18,1.1414176694761857,24.627,5,2,11.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
19,1.9017178790741052,18.467,3,2,17.25,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
0,0.7507321432065561,23.635,3,2,17.5,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,MEDIUM,0
1,-1.1925196494715018,23.500500000000002,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
2,-1.2560600820843537,23.747999999999998,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
3,-0.7345905739535863,30.942,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
4,-0.8033799155021115,23.0105,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,MEDIUM,0
5,-0.8709134045059852,23.172,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,SOFT,0
6,0.333048085735943,27.003500000000003,2,2,17.0,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
